slope,disp,mutsd,pert_treat,patch_sd,ac,draw,batch,rep,base_n,base_usd,base_xsd,base_xmean,trough_n,trough_t,trough_usd,trough_xsd,trough_xmean,peak_n,peak_t,final_n,final_t,final_usd,final_xsd,final_xmean,final_mal,n_steps,survived
0.8,1.5,0,10,1,4,0,1,1,1691.0,23.825499999999998,29.75645,48.49015,2.0,300.0,0.0,0.269863,11.2996,2.0,300.0,2.0,300.0,0.0,0.269863,11.2996,0.443834,30,0
0.8,1.5,0,10,1,4,0,1,2,1724.0,23.7454,29.66395,48.550349999999995,8.0,280.0,20.6626,25.1025,71.78,8.0,280.0,8.0,280.0,20.6626,25.1025,71.78,0.765413,28,0
0.8,1.5,0,10,1,4,0,1,3,1706.5,23.579099999999997,29.457549999999998,48.39465,21.0,330.0,0.0,1.78969,83.525,192.0,790.0,110.0,910.0,1.99863e-13,2.88236,82.4293,10.2878,91,1
0.8,1.5,0,10,1,4,0,1,4,1679.0,23.7035,29.629550000000002,47.80035,3.0,300.0,14.4998,18.0133,20.4792,3.0,300.0,3.0,300.0,14.4998,18.0133,20.4792,0.84182,30,0
0.8,1.5,0,10,1,4,0,1,5,1655.0,23.587000000000003,29.47915,47.84285,2.0,300.0,0.0,1.58611,55.4418,2.0,300.0,2.0,300.0,0.0,1.58611,55.4418,1.02132,30,0
0.8,1.5,0,10,1,4,0,1,6,1685.5,23.8399,29.85095,48.26185,2.0,290.0,0.0,0.585893,48.4252,2.0,290.0,2.0,290.0,0.0,0.585893,48.4252,0.362917,29,0
0.8,1.5,0,10,1,4,0,1,7,1674.5,23.70195,29.5963,48.0574,2.0,300.0,0.0,0.449189,58.9598,2.0,300.0,2.0,300.0,0.0,0.449189,58.9598,0.317834,30,0
0.8,1.5,0,10,1,4,0,1,8,1678.0,24.0535,30.03395,48.518950000000004,2.0,290.0,19.7631,25.8384,63.0709,2.0,290.0,2.0,300.0,0.0,0.93985,44.1358,1.28343,30,0
0.8,1.5,0,10,1,4,0,1,9,1718.0,23.50275,29.3318,48.07815,3.0,290.0,9.66904,11.8142,16.908,3.0,290.0,3.0,290.0,9.66904,11.8142,16.908,1.14222,29,0
0.8,1.5,0,10,1,4,1,1,0,1681.0,23.06635,29.3366,49.4792,4.0,290.0,16.9733,21.591,25.7434,4.0,290.0,4.0,290.0,16.9733,21.591,25.7434,0.531974,29,0
0.8,1.5,0,10,1,4,1,1,1,1668.5,22.554000000000002,28.7872,49.91245,2.0,290.0,38.8318,49.956,54.8687,2.0,290.0,2.0,290.0,38.8318,49.956,54.8687,0.219958,29,0
0.8,1.5,0,10,1,4,1,1,2,1693.5,22.7715,28.92825,50.5403,11.0,280.0,15.187,20.5082,31.7809,11.0,280.0,11.0,280.0,15.187,20.5082,31.7809,0.573349,28,1
0.8,1.5,0,10,1,4,1,1,3,1669.0,22.816249999999997,29.1197,50.171,2.0,290.0,0.0,0.748029,88.2821,2.0,290.0,2.0,300.0,0.0,0.457057,88.0764,0.287377,30,0
0.8,1.5,0,10,1,4,1,1,4,1689.5,22.6488,28.91,50.658150000000006,16.0,290.0,11.9452,15.5873,40.635,208.0,740.0,191.0,910.0,1.63854e-13,2.55454,38.5903,9.76852,91,1
0.8,1.5,0,10,1,4,1,1,5,1682.5,22.6688,28.96085,50.19695,2.0,290.0,9.07418,11.6677,21.6554,2.0,290.0,2.0,300.0,0.0,0.394718,30.1848,0.223286,30,0
0.8,1.5,0,10,1,4,1,1,6,1655.5,22.697049999999997,28.9785,49.55605,2.0,290.0,0.0,1.61282,28.8087,2.0,290.0,2.0,290.0,0.0,1.61282,28.8087,0.878558,29,0
0.8,1.5,0,10,1,4,1,1,7,1704.5,22.599899999999998,28.884500000000003,49.86475,2.0,290.0,5.70874,6.42504,34.5042,2.0,290.0,2.0,290.0,5.70874,6.42504,34.5042,0.599881,29,0
0.8,1.5,0,10,1,4,1,1,8,1731.5,23.203,29.5659,49.99385,24.0,290.0,17.2022,21.4701,47.1238,378.0,780.0,343.0,910.0,17.2646,22.7522,54.0829,10.1026,91,1
0.8,1.5,0,10,1,4,1,1,9,1716.0,22.7969,29.02045,50.252750000000006,0.0,300.0,nan,nan,nan,0.0,300.0,0.0,300.0,nan,nan,nan,nan,30,0
0.8,1.5,0,10,1,4,2,1,0,1720.0,23.7416,29.96105,49.622,0.0,300.0,nan,nan,nan,0.0,300.0,0.0,300.0,nan,nan,nan,nan,30,0
0.8,1.5,0,10,1,4,2,1,1,1706.5,23.6824,29.7909,51.256600000000006,11.0,280.0,32.2475,40.3796,46.3555,11.0,280.0,11.0,280.0,32.2475,40.3796,46.3555,0.68064,28,1
0.8,1.5,0,10,1,4,2,1,2,1699.0,23.4981,29.581049999999998,50.1041,16.0,300.0,7.33845e-15,2.02882,6.33019,179.0,670.0,144.0,910.0,4.63465e-14,2.14546,5.75425,10.3244,91,1
0.8,1.5,0,10,1,4,2,1,3,1698.5,23.3249,29.46185,49.87935,2.0,290.0,26.144,32.2273,42.0902,2.0,290.0,2.0,290.0,26.144,32.2273,42.0902,0.392514,29,0
0.8,1.5,0,10,1,4,2,1,4,1739.0,23.881500000000003,30.04585,49.6077,0.0,300.0,nan,nan,nan,0.0,300.0,0.0,300.0,nan,nan,nan,nan,30,0
0.8,1.5,0,10,1,4,2,1,5,1686.0,23.369349999999997,29.515,50.08945,3.0,290.0,3.30939,3.73914,20.7882,3.0,290.0,3.0,290.0,3.30939,3.73914,20.7882,0.41122,29,0
0.8,1.5,0,10,1,4,2,1,6,1721.0,23.6923,29.8641,49.301,12.0,280.0,27.9353,35.9912,50.8009,12.0,280.0,12.0,280.0,27.9353,35.9912,50.8009,0.703089,28,1
0.8,1.5,0,10,1,4,2,1,7,1655.0,23.6821,29.85835,50.037000000000006,4.0,290.0,18.4781,21.3745,20.8587,4.0,290.0,4.0,290.0,18.4781,21.3745,20.8587,0.761482,29,0
0.8,1.5,0,10,1,4,2,1,8,1690.0,23.2489,29.3572,49.9871,2.0,290.0,0.0,0.828395,41.6615,2.0,290.0,2.0,300.0,0.0,0.78292,42.8009,1.33481,30,0
0.8,1.5,0,10,1,4,2,1,9,1685.5,23.3594,29.4668,50.3551,1.0,290.0,nan,nan,0.0,1.0,290.0,1.0,290.0,nan,nan,0.0,0.501243,29,0
0.8,1.5,0,10,2,0,0,1,0,754.0,23.28785,29.326900000000002,47.2842,9.0,300.0,10.2787,18.5246,49.6963,110.0,550.0,44.0,910.0,3.59379e-14,2.46243,44.2841,9.85043,91,1
0.8,1.5,0,10,2,0,0,1,1,655.0,24.18665,30.382800000000003,48.6751,2.0,290.0,0.0,0.114616,46.8909,2.0,290.0,2.0,290.0,0.0,0.114616,46.8909,0.772437,29,0
0.8,1.5,0,10,2,0,0,1,2,775.5,23.65715,29.5202,52.5348,3.0,570.0,0.0,1.50938,7.36052,3.0,570.0,3.0,570.0,0.0,1.50938,7.36052,11.5273,57,0
0.8,1.5,0,10,2,0,0,1,3,760.5,23.7199,29.722949999999997,49.19455,3.0,290.0,0.0,0.702777,4.68297,3.0,290.0,3.0,290.0,0.0,0.702777,4.68297,9.36597,29,0
0.8,1.5,0,10,2,0,0,1,4,729.0,23.57095,29.588250000000002,51.2271,5.0,280.0,29.2017,36.1576,65.7321,5.0,280.0,5.0,280.0,29.2017,36.1576,65.7321,0.870383,28,0
