slope,disp,mutsd,pert_treat,patch_sd,ac,draw,batch,pert_value,pert_name,rep,t,n,u_mean,u_sd,u_skew,u_kurt,mal_mean,mal_sd,mal_skew,mal_kurt,nn_mean,nn_sd,nn_skew,nn_kurt,x_mean,x_sd,x_skew,x_kurt
1.0,3,0.75,11,0,0,0,1,0,11,1,130,861,51.1843,31.3309,-0.0744077,-1.21852,1.45464,1.0797,1.00056,0.595471,1.56285,0.884184,1.04525,2.26617,51.131,31.4174,-0.0776197,-1.20763
1.0,3,0.75,11,0,0,0,1,0,11,1,140,899,51.3144,32.0513,-0.0352765,-1.31229,1.39682,1.06148,1.11175,1.36348,1.53065,0.908338,1.05733,1.85652,51.3013,32.1027,-0.0360416,-1.30565
1.0,3,0.75,11,0,0,0,1,0,11,1,150,854,54.0313,30.4047,-0.178053,-1.14987,1.45036,1.0596,0.92336,0.672452,1.54406,0.899622,1.49629,4.70582,53.9752,30.3171,-0.185286,-1.15236
1.0,3,0.75,11,0,0,0,1,0,11,1,160,840,50.2693,31.9001,0.021061,-1.30152,1.54401,1.15066,0.88862,0.530763,1.57381,0.880241,0.79753,0.783371,50.319,31.707,0.0223457,-1.29894
1.0,3,0.75,11,0,0,0,1,0,11,1,170,793,51.7514,32.4753,-0.11523,-1.33322,1.4081,1.05762,0.940851,0.481985,1.55642,0.935501,1.39889,4.63783,51.7843,32.3166,-0.114067,-1.32811
1.0,3,0.75,11,0,0,0,1,0,11,1,180,846,51.6973,32.0457,-0.111093,-1.26304,1.50405,1.12427,1.03592,1.02506,1.5445,0.942206,1.20792,2.39362,51.6764,31.9335,-0.112083,-1.26265
1.0,3,0.75,11,0,0,0,1,0,11,1,190,774,51.8516,31.6035,-0.135729,-1.23437,1.44292,1.15701,1.10495,1.19316,1.61224,0.913211,0.799208,0.610937,51.7654,31.4026,-0.127361,-1.25
1.0,3,0.75,11,0,0,0,1,0,11,1,200,779,53.2846,33.0857,-0.17847,-1.30806,1.42443,1.1336,1.02614,0.793247,1.6752,1.03957,0.946907,0.6821,53.1852,33.0486,-0.183043,-1.31484
1.0,3,0.75,11,0,0,0,1,0,11,1,210,762,51.4367,32.0306,-0.0645756,-1.25613,1.4633,1.0762,0.87031,0.305479,1.55856,0.978432,1.19573,2.48942,51.4063,31.9864,-0.0694476,-1.25919
1.0,3,0.75,11,0,0,0,1,0,11,1,220,768,50.241,32.8266,-0.0414793,-1.32225,1.51292,1.09304,0.850919,0.622743,1.68949,0.967058,0.986088,1.32402,50.3017,32.7875,-0.0475819,-1.32993
